ID	DOCULECT	CONCEPT	GLOTTOCODE	CONCEPTICON_ID	VALUE	FORM	TOKENS	VARIANTS	SOURCE	COGID	LOAN	COGNACY
6	NorthMarquesan_38	Eight	nort2845	1705	va'u	va'u	v a ʔ u		POLLEX	618	False	3
301	Hawaiian_52	Eight	hawa1245	1705	walu	walu	w a l u		71458	618	False	3
537	Rarotongan_58	Eight	raro1241	1705	varu	varu	v a r u		POLLEX	618	False	3
843	Maori_85	Eight	maor1246	1705	waru	waru	w a r u		Biggs-85-2005	618	False	3
1363	Austral_128	Eight	aust1304	1705	vaʔu	vaʔu	v a ʔ u		Meyer-128-2005	618	False	3
2665	Tahitian_173	Eight	tahi1242	1705	va'u	va'u	v a ʔ u	varu	Clark-173-2005	618	False	3
3677	Penrhyn_235	Eight	penr1237	1705	varu	varu	v a r u		POLLEX	618	False	3
4107	Mangareva_239	Eight	mang1401	1705	varu	varu	v a r u		POLLEX	618	False	3
4588	Tuamotuan_246	Eight	tuam1242	1705	varu	varu	v a r u		POLLEX	618	False	3
5586	Rapanui_264	Eight	rapa1244	1705	va'u	va'u	v a ʔ u		POLLEX	618	False	3
296	Hawaiian_52	Fifty	hawa1245	1717	kanalima	kanalima	k a n a l i m a		71458	615	False	
533	Rarotongan_58	Fifty	raro1241	1717	rima ngauru	rima ngauru	r i m a _ ŋ a u r u		POLLEX	1	False	1
838	Maori_85	Fifty	maor1246	1717	rima tekau	rima tekau	r i m a _ t e k a u		Biggs-85-2005	1355	False	
1359	Austral_128	Fifty	aust1304	1717	pae ʔaʔuru	pae ʔaʔuru	p a e _ ʔ a ʔ u r u		Meyer-128-2005	1383	True	9
4103	Mangareva_239	Fifty	mang1401	1717	rima rongo'uru	rima rongo'uru	r i m a _ r o ŋ o ʔ u r u		POLLEX	1	False	1
9	NorthMarquesan_38	Five	nort2845	493	'ima	'ima	ʔ i m a		POLLEX	2	False	1
304	Hawaiian_52	Five	hawa1245	493	lima	lima	l i m a		71458	2	False	1
540	Rarotongan_58	Five	raro1241	493	rima	rima	r i m a		POLLEX	2	False	1
846	Maori_85	Five	maor1246	493	rima	rima	r i m a		Biggs-85-2005	2	False	1
1366	Austral_128	Five	aust1304	493	pae	pae	p a e		Meyer-128-2005	1384	True	9
2668	Tahitian_173	Five	tahi1242	493	pae	pae	p a e		Clark-173-2005	1384	False	9
2669	Tahitian_173	Five	tahi1242	493	rima	rima	r i m a		Clark-173-2005	2	False	1
3680	Penrhyn_235	Five	penr1237	493	rima	rima	r i m a		POLLEX	2	False	1
4110	Mangareva_239	Five	mang1401	493	rima	rima	r i m a	rima	POLLEX	2	False	1
4591	Tuamotuan_246	Five	tuam1242	493	rima	rima	r i m a		POLLEX	2	False	1
5589	Rapanui_264	Five	rapa1244	493	rima	rima	r i m a		POLLEX	2	False	1
10	NorthMarquesan_38	Four	nort2845	1500	faa	faa	f aː		POLLEX	3	False	1,66
305	Hawaiian_52	Four	hawa1245	1500	hā	hā	h aː		71458	3	False	1,66
541	Rarotongan_58	Four	raro1241	1500	àa	àa	ʔ a a		POLLEX	3	False	1,66
847	Maori_85	Four	maor1246	1500	whaa	faː	f aː		Biggs-85-2005	3	False	1,66
1367	Austral_128	Four	aust1304	1500	ʔa	ʔa	ʔ a	maʔa	Meyer-128-2005	3	False	1,66
2670	Tahitian_173	Four	tahi1242	1500	maha	maha	m a h a		Clark-173-2005	3	False	1,66
3681	Penrhyn_235	Four	penr1237	1500	haa	haa	h aː		POLLEX	3	False	1,66
4111	Mangareva_239	Four	mang1401	1500	'a	'a	ʔ a	à	POLLEX	3	False	1,66
4592	Tuamotuan_246	Four	tuam1242	1500	haa	haa	h aː	faa	POLLEX	3	False	1,66
5590	Rapanui_264	Four	rapa1244	1500	ha	ha	h a	haa	POLLEX	3	False	1,66
33	NorthMarquesan_38	I	nort2845	1209	='u	='u	ʔ u		POLLEX	1462	False	x
34	NorthMarquesan_38	I	nort2845	1209	au	au	a u		POLLEX	4	False	1,21
328	Hawaiian_52	I	hawa1245	1209	['o] au	au	a u		71458	4	False	1,21
565	Rarotongan_58	I	raro1241	1209	-ku	-ku	k u		POLLEX	1462	False	x
566	Rarotongan_58	I	raro1241	1209	au	au	a u		POLLEX	4	False	1,21
871	Maori_85	I	maor1246	1209	au	au	a u		Biggs-85-2005	4	False	1,21
1393	Austral_128	I	aust1304	1209	au	au	a u		Meyer-128-2005	4	False	1,21
1394	Austral_128	I	aust1304	1209	vau	vau	v a u		Meyer-128-2005	4	False	1, 21, 18
2694	Tahitian_173	I	tahi1242	1209	vau	vau	v a u		Clark-173-2005	4	False	1, 21, 18
2695	Tahitian_173	I	tahi1242	1209	au	au	a u		Clark-173-2005	4	False	1,21
3694	Penrhyn_235	I	penr1237	1209	au	au	a u		POLLEX	4	False	1,21
4131	Mangareva_239	I	mang1401	1209	au	au	a u		POLLEX	4	False	1,21
4605	Tuamotuan_246	I	tuam1242	1209	-ku	-ku	k u		POLLEX	1462	False	x
4606	Tuamotuan_246	I	tuam1242	1209	au	au	a u		POLLEX	4	False	1,21
5613	Rapanui_264	I	rapa1244	1209	au	au	a u		POLLEX	4	False	1,21
5	NorthMarquesan_38	Nine	nort2845	1483	iva	iva	i v a		POLLEX	897	False	5,66
300	Hawaiian_52	Nine	hawa1245	1483	iwa	iwa	i w a		71458	897	False	5,66
536	Rarotongan_58	Nine	raro1241	1483	iva	iva	i v a		POLLEX	897	False	5,66
842	Maori_85	Nine	maor1246	1483	iwa	iwa	i w a		Biggs-85-2005	897	False	5,66
1362	Austral_128	Nine	aust1304	1483	iva	iva	i v a		Meyer-128-2005	897	False	5,66
2664	Tahitian_173	Nine	tahi1242	1483	iva	iva	i v a		Clark-173-2005	897	False	5,66
3676	Penrhyn_235	Nine	penr1237	1483	iva	iva	i v a		POLLEX	897	False	5,66
4106	Mangareva_239	Nine	mang1401	1483	iva	iva	i v a		POLLEX	897	False	5,66
4587	Tuamotuan_246	Nine	tuam1242	1483	iva	iva	i v a		POLLEX	897	False	5,66
5585	Rapanui_264	Nine	rapa1244	1483	iva	iva	i v a	iba	POLLEX	897	False	5,66
13	NorthMarquesan_38	One	nort2845	1493	tahi	tahi	t a h i		POLLEX	322	False	14,48
308	Hawaiian_52	One	hawa1245	1493	'ekahi	'ekahi	ʔ e k a h i	kahi	71458	322	False	14,48
544	Rarotongan_58	One	raro1241	1493	taì	taì	t a ʔ i		POLLEX	322	False	14,48
850	Maori_85	One	maor1246	1493	tahi	tahi	t a h i		Biggs-85-2005	322	False	14,48
1371	Austral_128	One	aust1304	1493	taʔi	taʔi	t a ʔ i		Meyer-128-2005	322	False	14,48
2673	Tahitian_173	One	tahi1242	1493	ho'e	ho'e	h o ʔ e	hoo'ee	Clark-173-2005	361	False	15
2674	Tahitian_173	One	tahi1242	1493	tahi	tahi	t a h i		Clark-173-2005	322	False	14,48
3684	Penrhyn_235	One	penr1237	1493	tahi	tahi	t a h i		POLLEX	322	False	14,48
4114	Mangareva_239	One	mang1401	1493	ta'i	ta'i	t a ʔ i	e/taì // e/taì	POLLEX	322	False	14,48
4595	Tuamotuan_246	One	tuam1242	1493	tahi	tahi	t a h i		POLLEX	322	False	14,48
5593	Rapanui_264	One	rapa1244	1493	tahi	tahi	t a h i		POLLEX	322	False	14,48
1	NorthMarquesan_38	One Hundred	nort2845	1634	'au	'au	ʔ a u		POLLEX	486	False	2
295	Hawaiian_52	One Hundred	hawa1245	1634	hanele	hanele	h a n e l e		71458	179	True	11
532	Rarotongan_58	One Hundred	raro1241	1634	tai anere	tai anere	t a i _ a n e r e		POLLEX	179	True	11
837	Maori_85	One Hundred	maor1246	1634	rau	rau	r a u		Biggs-85-2005	486	False	2
1358	Austral_128	One Hundred	aust1304	1634	ʔaanere	ʔaanere	ʔ aː n e r e		Meyer-128-2005	179	True	11
2659	Tahitian_173	One Hundred	tahi1242	1634	haanere	haanere	h aː n e r e		Clark-173-2005	179	True	11
2660	Tahitian_173	One Hundred	tahi1242	1634	rau	rau	r a u		Clark-173-2005	486	False	2
